GM_NAAM,GM_CODE,AANT_INW,city_name,separation,intensity,scale,scale_rel,share_NW_c,Gini,aspect_ratio,aspect_ratio_fin
Schiermonnikoog,GM0088,941,Schiermonnikoog,0,0,0,0,0.0011904761904761,0.3,0.288586862635373,2.08111888111888
Terschelling,GM0093,4859,Terschelling,0,0,0,0,0.0019697964543663,0.35,0.840899325484119,1.31335344423169
Vlieland,GM0096,1085,Vlieland,0,0,0,0,0.0028901734104046,0.39,0.542763090605061,1.8424244708409
Ameland,GM0060,3633,Ameland,53.8461538461539,6.42592789986338,64,1.87189236618894,0.0038022813688212,0.25,0.229600787012969,2.08111888111888
Grootegast,GM0015,12166,Grootegast,0,0,0,0,0.0045624222314392,0.22,0.882199825575756,1.31428880987987
Korendijk,GM0588,10959,Korendijk,0,0,0,0,0.0058790593505039,0.25,0.98669900006053,1.31608719646799
Borger_Odoorn,GM1681,25355,Borger Odoorn,0,0,0,0,0.0073597426100945,0.24,0.97499592900298,1.31608719646799
Simpelveld,GM0965,10571,Simpelveld,0,0,0,0,0.0074880871341048,0.23,1.28099143342441,1.31608719646799
Boekel,GM0755,10414,Boekel,0,0,0,0,0.0085230024213075,0.24,0.568037176134867,1.76044815729204
Marum,GM0025,10388,Marum,53.8461538461538,3.42583781433048,767,7.54772682542807,0.0089549301318638,0.25,1.02930942272229,1.31608719646799
De_Wolden,GM1690,23744,De Wolden,0,0,0,0,0.0093999484934329,0.26,0.973561322244996,1.31607599690785
Ten_Boer,GM0009,7288,Ten Boer,0,0,0,0,0.0094164645455842,0.23,0.915656457745349,1.31498466650889
Mill_en_Sint_Hubert,GM0815,10807,Mill en Sint Hubert,0,0,0,0,0.0094295143800094,0.24,1.05533316452826,1.31608719646799
Twenterand,GM1700,33845,Twenterand,43.0769230769231,2.15842651206732,4249,12.603446741613,0.0096401981431495,0.23,0.677628428072181,1.47573501726448
Aa_en_Hunze,GM1680,25286,Aa en Hunze,0,0,0,0,0.0096669374492282,0.26,1.00993201413454,1.31608719646799
Tubbergen,GM0183,21153,Tubbergen,50.2439024390244,2.88500063920826,2304,11.1148632350813,0.0098895267499638,0.24,0.868097266197514,1.31397942459174
Bronckhorst,GM1876,36410,Bronckhorst,0,0,0,0,0.0099721448467966,0.27,0.749559766178579,1.33411643089946
Achtkarspelen,GM0059,27893,Achtkarspelen,46.5703971119134,2.50838737184859,3484,12.647934364336,0.0100559064836999,0.23,0.971694009680159,1.31604283333905
Woudrichem,GM0874,14539,Woudrichem,0,0,0,0,0.010244895095081,0.26,0.755502063048718,1.3236231228339
Gulpen_Wittem,GM1729,14337,Gulpen Wittem,17.9310344827586,32.5904177772713,46,0.32672775055046,0.0102990269195255,0.25,0.947431158357399,1.31560003934082
Goeree_Overflakkee,GM1924,48653,Goeree Overflakkee,0,0,0,0,0.010381060893784,0.26,0.567472846090699,1.76219885566149
Loppersum,GM0024,9914,Loppersum,19.6078431372549,9.48494625280321,171,1.75366629063686,0.0104604655932724,0.25,0.879041618708458,1.3142203870163
Staphorst,GM0180,16691,Staphorst,84.393063583815,2.23828298766802,4557,27.556388704118,0.0104613896111749,0.24,0.767452908523993,1.31144133829076
Oldebroek,GM0269,23256,Oldebroek,0,0,0,0,0.0106494413407821,0.24,1.09486211679707,1.31608719646799
Urk,GM0184,20220,Urk,28.6384976525822,4.41781836085766,505,2.52676873811668,0.0106574602221555,0.24,0.848958838007171,1.31354312146834
